2018-12-03 17:43:12.134 [background-preinit] INFO  org.hibernate.validator.internal.util.Version 30  -| HV000001: Hibernate Validator 5.3.6.Final
2018-12-03 17:43:12.195 [restartedMain] INFO  org.springframework.context.annotation.AnnotationConfigApplicationContext 583  -| Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@9229e8d: startup date [Mon Dec 03 17:43:12 CST 2018]; root of context hierarchy
2018-12-03 17:43:12.481 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 327  -| Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$15e6655e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-03 17:43:17.020 [restartedMain] INFO  com.lixing.docker.dockerboot.DockerbootApplication 593  -| No active profile set, falling back to default profiles: default
2018-12-03 17:43:17.093 [restartedMain] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext 583  -| Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6b19eefc: startup date [Mon Dec 03 17:43:17 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@9229e8d
2018-12-03 17:43:18.648 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 165  -| Multiple Spring Data modules found, entering strict repository configuration mode!
2018-12-03 17:43:18.685 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 165  -| Multiple Spring Data modules found, entering strict repository configuration mode!
2018-12-03 17:43:18.787 [restartedMain] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory 828  -| Overriding bean definition for bean 'counterFactory' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.cloud.netflix.zuul.ZuulServerAutoConfiguration$ZuulMetricsConfiguration; factoryMethodName=counterFactory; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/cloud/netflix/zuul/ZuulServerAutoConfiguration$ZuulMetricsConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.cloud.netflix.zuul.ZuulServerAutoConfiguration$ZuulCounterFactoryConfiguration; factoryMethodName=counterFactory; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/cloud/netflix/zuul/ZuulServerAutoConfiguration$ZuulCounterFactoryConfiguration.class]]
2018-12-03 17:43:18.835 [restartedMain] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory 828  -| Overriding bean definition for bean 'zuulRefreshRoutesListener' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.cloud.netflix.zuul.ZuulServerAutoConfiguration; factoryMethodName=zuulRefreshRoutesListener; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/cloud/netflix/zuul/ZuulServerAutoConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=de.codecentric.boot.admin.config.RevereseZuulProxyConfiguration; factoryMethodName=zuulRefreshRoutesListener; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [de/codecentric/boot/admin/config/RevereseZuulProxyConfiguration.class]]
2018-12-03 17:43:19.085 [restartedMain] INFO  org.springframework.cloud.context.scope.GenericScope 287  -| BeanFactory id=556e0145-1b45-352d-998c-56320dec5fbf
2018-12-03 17:43:19.248 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 327  -| Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f9cc6261] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-03 17:43:19.343 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 327  -| Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration$$EnhancerBySpringCGLIB$$7aca40b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
